"Pitcher","MLBAM_ID","Year","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"Yoslan Herrera",7759,"2014",313,0.1406,0.0288,0.0639,0.0479,0.246,0.5208
"Jeff Francis",4684,"2014",312,0.1603,0.0096,0.0833,0.0673,0.1891,0.5577
"Dylan Axelrod",9303,"2014",306,0.1765,0.0131,0.0752,0.0882,0.2059,0.5294
"Gus Schlosser",12321,"2014",304,0.1809,0.0164,0.023,0.1414,0.2467,0.5329
"Tom Layne",7501,"2014",304,0.1941,0.0263,0.0428,0.125,0.2763,0.4605
"Sean Marshall",5905,"2014",298,0.1409,0.0268,0.0872,0.0268,0.1913,0.5537
"Zac Rosscup",9419,"2014",295,0.1695,0.0441,0.0407,0.0847,0.1898,0.5559
"Luis Garcia",6984,"2014",284,0.1796,0.0317,0.0458,0.1021,0.1549,0.588
"Lucas Harrell",7541,"2014",282,0.1348,0.0142,0.0709,0.0496,0.1348,0.6454
"Juan Jaime",6127,"2014",277,0.1661,0.0361,0.0578,0.0722,0.2563,0.4838
"Scott Rice",2743,"2014",272,0.1507,0.0037,0.0735,0.0735,0.0809,0.6912
"Carlos Marmol",2790,"2014",269,0.1375,0.0669,0.0372,0.0335,0.2156,0.5428
"Cesar Jimenez",3762,"2014",260,0.1692,0.0231,0.0923,0.0538,0.1423,0.5731
"Andrew Chafin",12988,"2014",258,0.1434,0.031,0.0543,0.0581,0.2171,0.5543
"Eddie Butler",13453,"2014",258,0.1512,0.0388,0.0853,0.0271,0.155,0.5698
"J.J. Putz",1795,"2014",256,0.1406,0.0313,0.0664,0.043,0.207,0.5547
"B.J. Rosenberg",7183,"2014",256,0.1484,0.0352,0.0703,0.043,0.1914,0.5547
"Chris Martin",11847,"2014",254,0.2126,0.0118,0.0748,0.126,0.2205,0.4803
"Kris Johnson",886,"2014",254,0.1811,0.0276,0.0591,0.0945,0.1732,0.5591
"Pat McCoy",6605,"2014",250,0.176,0.044,0.06,0.072,0.204,0.516
"Eric Jokisch",11157,"2014",249,0.1727,0.0321,0.0683,0.0723,0.1807,0.5462
"Rob Scahill",9286,"2014",248,0.1653,0.0161,0.0645,0.0847,0.1895,0.5645
"Michael Roth",13736,"2014",247,0.1255,0.0243,0.0607,0.0405,0.1862,0.6032
"Josh Stinson",3219,"2014",236,0.1229,0.0212,0.072,0.0297,0.2288,0.5551
"Troy Patton",8368,"2014",234,0.188,0.0256,0.0726,0.0897,0.235,0.4786
"Kyuji Fujikawa",14443,"2014",234,0.0983,0.0726,0.0855,-0.0598,0.1752,0.5684
"Casey Coleman",8270,"2014",231,0.1861,0.039,0.1039,0.0433,0.2165,0.4545
"Matt Daley",7952,"2014",228,0.1798,0.0307,0.0789,0.0702,0.2281,0.4825
"Pedro Villarreal",9904,"2014",217,0.1797,0.0276,0.0415,0.1106,0.212,0.5392
"Paco Rodriguez",13398,"2014",217,0.1336,0.0184,0.0922,0.023,0.1935,0.5622
"Neil Wagner",8162,"2014",216,0.1852,0.0463,0.037,0.1019,0.2407,0.4907
"Joe Wieland",6109,"2014",215,0.1349,0.0279,0.0651,0.0419,0.1767,0.5953
"Alex Claudio",12890,"2014",209,0.1866,0,0.0526,0.134,0.2536,0.5072
"Nate Karns",12638,"2014",205,0.1707,0.0341,0.0683,0.0683,0.2049,0.522
"Jose Ramirez",10171,"2014",204,0.2157,0.0588,0.0392,0.1176,0.2255,0.4608
"Ian Thomas",13881,"2014",204,0.1324,0.0343,0.0833,0.0147,0.2108,0.5392
"Chasen Shreve",10855,"2014",204,0.1275,0.0392,0.0833,0.0049,0.1618,0.5882
"Chad Smith",13604,"2014",196,0.1582,0.0255,0.0969,0.0357,0.2347,0.4847
"Jair Jurrjens",5556,"2014",195,0.1333,0.0821,0.0718,-0.0205,0.1846,0.5282
"Vin Mazzaro",5231,"2014",195,0.2359,0.0308,0.0513,0.1538,0.2256,0.4564
"Buck Farmer",14814,"2014",194,0.2062,0.0206,0.0567,0.1289,0.1804,0.5361
"Chris Rusin",9895,"2014",194,0.1907,0.0103,0.0773,0.1031,0.2165,0.5052
"Justin Miller",8580,"2014",193,0.2176,0.0207,0.0363,0.1606,0.3005,0.4249
"Sean O'Sullivan",9137,"2014",192,0.1406,0.0156,0.0781,0.0469,0.2344,0.5313
"Dallas Beeler",11471,"2014",187,0.1497,0.0428,0.0535,0.0535,0.2406,0.5134
"Jim Henderson",6653,"2014",186,0.2204,0.0538,0.043,0.1237,0.2312,0.4516
"Nate Adcock",3282,"2014",185,0.1081,0.027,0.0919,-0.0108,0.1784,0.5946
"Nick Christiani",10332,"2014",184,0.212,0.0217,0.0707,0.1196,0.2174,0.4783
"Rob Rasmussen",11250,"2014",183,0.2022,0.0383,0.0546,0.1093,0.2186,0.4863
"Matt Moore",1890,"2014",180,0.1611,0.0444,0.0556,0.0611,0.1667,0.5722
"Heath Hembree",11632,"2014",174,0.1494,0.0287,0.0575,0.0632,0.2529,0.5115
"Jonathan Pettibone",7106,"2014",173,0.1792,0.0173,0.0809,0.0809,0.185,0.5376
"Corey Knebel",15010,"2014",171,0.0877,0.0117,0.0877,-0.0117,0.3158,0.4971
"Matt Albers",4300,"2014",170,0.1824,0.0059,0.0765,0.1,0.1471,0.5882
"A.J. Achter",11387,"2014",169,0.2189,0.0296,0.0533,0.1361,0.1953,0.503
"Jon Edwards",1483,"2014",164,0.122,0.0732,0.0427,0.0061,0.2256,0.5366
"Evan Scribner",7525,"2014",164,0.1646,0.0793,0.0549,0.0305,0.3293,0.372
"Kevin Gregg",1793,"2014",163,0.1288,0.0184,0.0798,0.0307,0.2393,0.5337
"Kyle Ryan",11753,"2014",163,0.2147,0.0184,0.0613,0.135,0.2331,0.4724
"Preston Guilmet",7303,"2014",163,0.1902,0.0245,0.0859,0.0798,0.2454,0.454
"R.J. Alvarez",13401,"2014",162,0.2099,0.037,0.0432,0.1296,0.2346,0.4753
"Casey Sadler",11209,"2014",161,0.1615,0.0248,0.0435,0.0932,0.1988,0.5714
"Eric Fornataro",7042,"2014",159,0.1824,0.044,0.044,0.0943,0.2579,0.4717
"Steve Geltz",8402,"2014",158,0.1772,0.0759,0.0316,0.0696,0.2152,0.5
"Nick Maronde",12530,"2014",158,0.1519,0.038,0.038,0.0759,0.2152,0.557
"Bryan Mitchell",11479,"2014",157,0.1274,0.0382,0.0892,0,0.2357,0.5096
"Alfredo Figaro",8404,"2014",157,0.2102,0.0382,0.0892,0.0828,0.1911,0.4713
"Matt Barnes",12863,"2014",157,0.1656,0.0382,0.0382,0.0892,0.2739,0.4841
"Taylor Hill",12515,"2014",155,0.1613,0.0258,0.0452,0.0903,0.1935,0.5742
"Ben Rowen",10983,"2014",145,0.1931,0.0207,0.0552,0.1172,0.2,0.531
"Pedro Figueroa",6616,"2014",144,0.1944,0.0208,0.0903,0.0833,0.2361,0.4583
"Mark Lowe",7416,"2014",143,0.1049,0.035,0.0629,0.007,0.2657,0.5315
"Curtis Partch",1333,"2014",142,0.1338,0.0493,0.0775,0.007,0.1901,0.5493
"Spencer Patton",12361,"2014",142,0.2254,0.0704,0.0493,0.1056,0.2183,0.4366
"Frank Garces",13144,"2014",142,0.1831,0.0423,0.0282,0.1127,0.2606,0.4859
"Jason Lane",1397,"2014",141,0.1773,0.0355,0.0851,0.0567,0.2411,0.461
"Brian Flynn",12027,"2014",140,0.1357,0.0286,0.0857,0.0214,0.2357,0.5143
"Phillippe Aumont",5362,"2014",139,0.1655,0.0072,0.1007,0.0576,0.1511,0.5755
"Ryan Rowland-Smith",3245,"2014",139,0.1871,0.0144,0.0647,0.1079,0.1942,0.5396
"Daniel Norris",13475,"2014",138,0.1377,0.0507,0.0362,0.0507,0.1957,0.5797
"Jorge De Leon",5397,"2014",138,0.1377,0.0145,0.0797,0.0435,0.2101,0.558
"Yimi Garcia",12095,"2014",134,0.1493,0.0299,0.0522,0.0672,0.3134,0.4552
"Ryan Feierabend",6336,"2014",134,0.1418,0.0224,0.0448,0.0746,0.306,0.4851
"Donnie Veal",4741,"2014",131,0.1527,0.0229,0.0687,0.0611,0.2137,0.542
"Lucas Luetge",8337,"2014",130,0.1154,0.0385,0.0846,-0.0077,0.1692,0.5923
"Miguel Gonzalez",15675,"2014",130,0.1769,0.0462,0.0769,0.0538,0.2692,0.4308
"Leonel Campos",12277,"2014",128,0.1719,0.0313,0.0625,0.0781,0.1875,0.5469
"Drew Rucinski",12499,"2014",126,0.1587,0.0476,0.0635,0.0476,0.2222,0.5079
"Blake Wood",1345,"2014",125,0.136,0.056,0.032,0.048,0.224,0.552
"John Holdzkom",9392,"2014",123,0.2439,0.0244,0.065,0.1545,0.2927,0.374
"Lester Oliveros",9167,"2014",123,0.1626,0.0732,0.0488,0.0407,0.252,0.4634
"Brandon Finnegan",16208,"2014",121,0.1818,0.0248,0.0909,0.0661,0.1901,0.5124
"Fernando Rodriguez",7558,"2014",121,0.2149,0.0744,0.0579,0.0826,0.2149,0.438
"Ryan Mattheus",7169,"2014",121,0.1653,0.0248,0.0413,0.0992,0.124,0.6446
"Bo Schultz",5028,"2014",120,0.125,0.0167,0.05,0.0583,0.275,0.5333
"Justin Germano",1938,"2014",120,0.0917,0.0417,0.075,-0.025,0.2333,0.5583
"Rich Hill",4806,"2014",118,0.2288,0.0508,0.0339,0.1441,0.1017,0.5847
"Carson Smith",13172,"2014",116,0.1638,0.0431,0.1034,0.0172,0.2414,0.4483
"Wilton Lopez",4227,"2014",115,0.2348,0.0261,0.113,0.0957,0.1652,0.4609
"Arquimedes Caminero",8992,"2014",114,0.1667,0.0088,0.0439,0.114,0.2632,0.5175
"Xavier Cedeno",36,"2014",112,0.2768,0.0357,0.1071,0.1339,0.1696,0.4107
"Taylor Thompson",10019,"2014",112,0.1339,0,0.0536,0.0804,0.1518,0.6607
"David Martinez",8893,"2014",111,0.1261,0.009,0.0541,0.0631,0.1982,0.6126
"Erik Cordier",4086,"2014",109,0.1009,0.0642,0.0734,-0.0367,0.2385,0.5229
"Stephen Fife",8077,"2014",105,0.1429,0.019,0.019,0.1048,0.2857,0.5333
"Chris Heston",10302,"2014",103,0.1942,0.0097,0.0874,0.0971,0.1748,0.534
"Aaron Thompson",999,"2014",102,0.2157,0.0392,0.0196,0.1569,0.2647,0.4608
"Jose Cisnero",6399,"2014",100,0.18,0.04,0.04,0.1,0.24,0.5
"Austin Adams",7411,"2014",100,0.16,0.08,0.05,0.03,0.21,0.5
"Frank Francisco",1933,"2014",100,0.16,0.02,0.05,0.09,0.31,0.46
"C.J. Riefenhauser",11193,"2014",99,0.1414,0.0404,0.101,0,0.2424,0.4747
"Arodys Vizcaino",5498,"2014",97,0.1443,0.0103,0.0206,0.1134,0.3093,0.5155
"Erik Goeddel",11712,"2014",96,0.1146,0.0313,0.0313,0.0521,0.2292,0.5938
"Hunter Strickland",7836,"2014",95,0.2211,0.0947,0.1053,0.0211,0.2526,0.3263
"Ryan Dennick",9261,"2014",94,0.117,0.0213,0.0532,0.0426,0.1915,0.617
"Pedro Hernandez",4578,"2014",94,0.117,0.0213,0.0745,0.0213,0.2234,0.5638
"John Lannan",7080,"2014",92,0.1739,0.0326,0.0978,0.0435,0.1957,0.5
"Rudy Owens",5226,"2014",91,0.1319,0.033,0.044,0.0549,0.2418,0.5495
"Jairo Diaz",12774,"2014",91,0.1099,0.044,0.0549,0.011,0.2088,0.5824
"Drake Britton",2868,"2014",88,0.1705,0.0114,0.0909,0.0682,0.2841,0.4432
"Aaron Brooks",12272,"2014",87,0.1609,0.069,0.0345,0.0575,0.1954,0.5402
"Billy Buckner",8253,"2014",87,0.1264,0.023,0.0575,0.046,0.1954,0.5977
"Red Patterson",10710,"2014",87,0.1149,0.046,0.0575,0.0115,0.2414,0.5402
"Josh Lindblom",7882,"2014",84,0.2262,0.0238,0.0595,0.1429,0.2381,0.4524
"Jose Dominguez",11571,"2014",83,0.1928,0.012,0.0723,0.1084,0.1928,0.5301
"Phil Irwin",9489,"2014",83,0.2048,0.0482,0.0361,0.1205,0.1687,0.5422
"Drew VerHagen",13424,"2014",82,0.1463,0.0488,0.061,0.0366,0.2195,0.5244
"Michael Kirkman",9877,"2014",80,0.2375,0.025,0.05,0.1625,0.1625,0.525
"Daniel Coulombe",13293,"2014",78,0.1667,0,0.0513,0.1154,0.2051,0.5769
"Raul Valdes",1953,"2014",77,0.1948,0.0519,0.026,0.1169,0.3247,0.4026
"Pedro Beato",1330,"2014",77,0.1688,0.039,0.0779,0.0519,0.1948,0.5195
"Bruce Billings",3044,"2014",76,0.1579,0.0395,0.0526,0.0658,0.1711,0.5789
"Charlie Leesman",9124,"2014",73,0.2192,0,0.0685,0.1507,0.2192,0.4932
"Seth Rosin",10606,"2014",71,0.1408,0.0141,0.0986,0.0282,0.1831,0.5634
"Ethan Martin",3877,"2014",69,0.1304,0.029,0.0435,0.058,0.2464,0.5507
"Bryan Price",8436,"2014",69,0.2319,0.0145,0.0435,0.1739,0.1594,0.5507
"Matt West",7980,"2014",69,0.058,0.029,0.0435,-0.0145,0.3043,0.5652
"Scott Elbert",7489,"2014",68,0.1324,0.0441,0.0882,0,0.2353,0.5
"Brett Bochy",11867,"2014",64,0.2031,0.0625,0.0313,0.1094,0.125,0.5781
"Jim Miller",7458,"2014",63,0.127,0.0635,0.0476,0.0159,0.2222,0.5397
"Scott Snodgress",12020,"2014",63,0.1905,0.0317,0.0317,0.127,0.2063,0.5397
"Blake Beavan",338,"2014",63,0.1587,0,0.0635,0.0952,0.2857,0.4921
"Kendall Graveman",15514,"2014",61,0.1639,0.0328,0.0656,0.0656,0.1967,0.541
"Luke Putkonen",6736,"2014",59,0.2203,0.0169,0.0339,0.1695,0.1864,0.5424
"Bobby Korecky",4608,"2014",58,0.1724,0.0172,0.0172,0.1379,0.1552,0.6379
"Henry Rodriguez",6371,"2014",57,0.193,0.0175,0.0702,0.1053,0.1579,0.5614
"Chris Leroux",7645,"2014",56,0.2143,0.0357,0.0357,0.1429,0.1786,0.5357
"Justin Marks",10265,"2014",55,0.1636,0.0182,0.0545,0.0909,0.2182,0.5455
"Kyle Drabek",4359,"2014",55,0.0727,0.0182,0.0727,-0.0182,0.2,0.6364
"Bradin Hagens",7422,"2014",55,0.1636,0,0.0727,0.0909,0.1091,0.6545
"Keith Butler",10080,"2014",53,0.1321,0,0.0943,0.0377,0.1321,0.6415
"Bobby LaFromboise",7758,"2014",53,0.1887,0,0.0755,0.1132,0.1321,0.6038
"Mike Kickham",11618,"2014",53,0.1698,0.0189,0.1132,0.0377,0.1509,0.5472
"Brad Lincoln",4241,"2014",51,0.1176,0,0.0784,0.0392,0.2745,0.5294
"Shawn Camp",1855,"2014",51,0.3137,0.0196,0.0196,0.2745,0.3725,0.2745
"Cesar Cabral",6741,"2014",49,0.1224,0.0204,0.0612,0.0408,0.0612,0.7347
"Daniel McCutchen",263,"2014",49,0.1633,0,0.1224,0.0408,0.2449,0.4694
"Daniel Hudson",7146,"2014",49,0.1633,0.0408,0.0612,0.0612,0.3061,0.4286
"Chaz Roe",9866,"2014",46,0.1522,0.0652,0,0.087,0.2609,0.5217
"Joe Savery",2835,"2014",43,0.186,0,0.1163,0.0698,0.2326,0.4651
"Josh Wall",4436,"2014",43,0.1395,0,0.093,0.0465,0.1628,0.6047
"Jose Ortega",9651,"2014",43,0.1628,0.0233,0,0.1395,0.1395,0.6744
"Samuel Tuivailala",13485,"2014",42,0.1905,0.0714,0.0714,0.0476,0.1905,0.4762
"Dane de la Rosa",10095,"2014",40,0.125,0,0.025,0.1,0.2,0.65
"David Carpenter",9244,"2014",39,0.2051,0.0513,0.0513,0.1026,0.2308,0.4615
"Mike Carp",7480,"2014",38,0.0789,0.0789,0,0,0.0789,0.7632
"Kevin Whelan",3462,"2014",38,0.1579,0.0526,0.0263,0.0789,0.1842,0.5789
"Danny Worth",198,"2014",36,0.1667,0.0278,0,0.1389,0.2778,0.5278
"Trevor Bell",7074,"2014",36,0.1389,0,0.0833,0.0556,0.1389,0.6389
"Edwin Escobar",10337,"2014",36,0.2778,0.0278,0.0278,0.2222,0.2222,0.4444
"Stephen Pryor",10663,"2014",35,0.0286,0,0.0286,0,0.2571,0.6857
"Joe Paterson",2565,"2014",34,0.1471,0,0.1176,0.0294,0.0882,0.6471
"Hector Ambriz",559,"2014",33,0.2121,0.0606,0,0.1515,0.0909,0.6364
"Wilking Rodriguez",8801,"2014",33,0.1818,0.0303,0,0.1515,0.2424,0.5455
"Dario Alvarez",14239,"2014",31,0.129,0,0.0645,0.0645,0.2581,0.5484
"Donnie Joseph",6491,"2014",30,0.2,0,0.0333,0.1667,0.0667,0.7
"Nate Jones",4696,"2014",29,0.1724,0,0.069,0.1034,0.1379,0.6207
"Andrew Romine",1159,"2014",27,0.1852,0,0.037,0.1481,0.1852,0.5926
"Drew Butera",3411,"2014",26,0.0769,0.0385,0.0769,-0.0385,0.3846,0.4231
"Bobby Parnell",9926,"2014",25,0.32,0.04,0.12,0.16,0.12,0.4
"Leury Garcia",5913,"2014",25,0,0.08,0.04,-0.12,0.12,0.76
"Melvin Mercedes",10181,"2014",23,0.1304,0,0.2609,-0.1304,0.087,0.5217
"Adam Dunn",319,"2014",22,0.2727,0.1364,0,0.1364,0.0455,0.5455
"Travis Snider",2830,"2014",19,0.1053,0.1053,0,0,0.1579,0.6316
"Sean Nolin",11341,"2014",18,0.0556,0.0556,0.1667,-0.1667,0.1667,0.5556
"Sean Burnett",1886,"2014",18,0.3333,0,0,0.3333,0.1111,0.5556
"Skip Schumaker",3704,"2014",17,0.0588,0.1176,0,-0.0588,0.1765,0.6471
"Dean Anna",8353,"2014",17,0.2353,0,0.1176,0.1176,0.1176,0.5294
"Ramon Ramirez",7986,"2014",15,0.0667,0,0.0667,0,0.2667,0.6
"Martin Maldonado",6887,"2014",15,0.1333,0.0667,0.0667,0,0.1333,0.6
"Mitch Moreland",3086,"2014",15,0.1333,0.0667,0.0667,0,0.1333,0.6
"Jorge Rondon",5791,"2014",15,0.0667,0,0.0667,0,0.3333,0.5333
"Jake Dunning",10803,"2014",13,0.3077,0,0,0.3077,0.2308,0.4615
"Steve Tolleson",4450,"2014",13,0.3077,0,0,0.3077,0.1538,0.5385
"Chris Gimenez",7324,"2014",12,0.0833,0,0.0833,0,0.25,0.5833
"Ryan Buchter",9456,"2014",12,0.1667,0,0,0.1667,0.25,0.5833
"John Baker",4756,"2014",11,0.0909,0.1818,0,-0.0909,0.1818,0.5455
"Jose Alvarez",5358,"2014",10,0.5,0,0,0.5,0.2,0.3
"J.P. Arencibia",697,"2014",10,0,0,0.1,-0.1,0.3,0.6
"Hector Neris",11804,"2014",9,0.2222,0,0.1111,0.1111,0.4444,0.2222
"Jarrett Grube",7553,"2014",7,0.1429,0,0,0.1429,0.4286,0.4286
"Lyle Overbay",1617,"2014",6,0.3333,0,0,0.3333,0,0.6667
"Daniel Descalso",8392,"2014",2,0,0,0,0,0.5,0.5
"Justin Verlander",8700,"2013",3685,0.1761,0.0399,0.0597,0.0765,0.2339,0.4904
"James Shields",7059,"2013",3657,0.1684,0.0298,0.0604,0.0782,0.2179,0.5234
"C.J. Wilson",3580,"2013",3651,0.1586,0.0329,0.0583,0.0674,0.2249,0.5253
"Jon Lester",4930,"2013",3556,0.1845,0.0287,0.0613,0.0945,0.2081,0.5174
"Adam Wainwright",2233,"2013",3532,0.1863,0.0348,0.0626,0.0889,0.2036,0.5127
"R.A. Dickey",1245,"2013",3503,0.1887,0.0437,0.0545,0.0905,0.2444,0.4687
"Chris Tillman",5279,"2013",3476,0.1579,0.0578,0.0567,0.0434,0.2569,0.4707
"Yu Darvish",13074,"2013",3450,0.1493,0.0296,0.0626,0.0571,0.2264,0.5322
"Clayton Kershaw",2036,"2013",3428,0.1852,0.0446,0.0519,0.0887,0.22,0.4982
"Jeff Samardzija",3254,"2013",3428,0.1604,0.0318,0.0607,0.068,0.2252,0.5219
"Cole Hamels",4972,"2013",3417,0.1826,0.0319,0.0588,0.0919,0.2271,0.4996
"Max Scherzer",3137,"2013",3388,0.1641,0.0283,0.0741,0.0617,0.2532,0.4802
"Jeremy Guthrie",2072,"2013",3369,0.1728,0.0306,0.0733,0.0689,0.2342,0.4892
"Lance Lynn",2520,"2013",3351,0.1799,0.0385,0.0516,0.0898,0.2384,0.4915
"Doug Fister",9425,"2013",3349,0.2045,0.0245,0.0678,0.1123,0.2054,0.4978
"CC Sabathia",404,"2013",3332,0.1696,0.0249,0.0729,0.0717,0.2212,0.5114
"Jose Quintana",11423,"2013",3330,0.1835,0.0333,0.061,0.0892,0.2204,0.5018
"Gio Gonzalez",7448,"2013",3311,0.1685,0.0302,0.064,0.0743,0.2126,0.5246
"Mark Buehrle",225,"2013",3299,0.1819,0.023,0.0609,0.0979,0.2055,0.5286
"Homer Bailey",8362,"2013",3290,0.1629,0.0313,0.0675,0.0641,0.2149,0.5234
"Derek Holland",4141,"2013",3280,0.2049,0.0494,0.0396,0.1159,0.2171,0.489
"Tim Lincecum",5705,"2013",3277,0.1565,0.0424,0.0586,0.0555,0.2008,0.5417
"Cliff Lee",1636,"2013",3253,0.1897,0.0372,0.0741,0.0784,0.2671,0.4319
"Chris Sale",10603,"2013",3246,0.1873,0.0293,0.0693,0.0887,0.2378,0.4763
"Wade Miley",8779,"2013",3238,0.1501,0.0309,0.0757,0.0435,0.2054,0.538
"Mat Latos",3815,"2013",3235,0.1728,0.0377,0.06,0.0751,0.2133,0.5162
"Eric Stults",8011,"2013",3233,0.1612,0.0251,0.0677,0.0684,0.1967,0.5493
"A.J. Griffin",11132,"2013",3207,0.1653,0.0412,0.0624,0.0617,0.2283,0.503
"Madison Bumgarner",5524,"2013",3203,0.1873,0.0493,0.04,0.098,0.2338,0.4895
"Hiroki Kuroda",3283,"2013",3201,0.1556,0.0284,0.0578,0.0694,0.1987,0.5595
"Ervin Santana",3200,"2013",3194,0.1465,0.0354,0.0764,0.0348,0.2373,0.5044
"Ricky Nolasco",3830,"2013",3181,0.1767,0.0387,0.0566,0.0814,0.2122,0.5159
"Felix Hernandez",4772,"2013",3167,0.1623,0.0243,0.0584,0.0796,0.2213,0.5336
"Ubaldo Jimenez",3374,"2013",3152,0.151,0.0419,0.0631,0.046,0.2462,0.4978
"Mike Minor",10021,"2013",3125,0.1712,0.0403,0.0624,0.0685,0.2512,0.4749
"Joe Saunders",4366,"2013",3109,0.1467,0.0212,0.0769,0.0486,0.1991,0.5561
"Hisashi Iwakuma",13048,"2013",3094,0.1648,0.0349,0.0792,0.0507,0.234,0.4871
"Travis Wood",9884,"2013",3090,0.1816,0.043,0.0605,0.078,0.2427,0.4722
"Ian Kennedy",6986,"2013",3088,0.1632,0.0285,0.0599,0.0748,0.2387,0.5097
"Patrick Corbin",9323,"2013",3081,0.1723,0.0305,0.0581,0.0837,0.2291,0.5099
"Jordan Zimmermann",4505,"2013",3078,0.1985,0.0448,0.0598,0.0939,0.2469,0.45
"Hyun-Jin Ryu",14444,"2013",3065,0.1941,0.032,0.0568,0.1054,0.2261,0.491
"Kris Medlen",9417,"2013",3048,0.1621,0.0331,0.0614,0.0676,0.247,0.4964
"Yovani Gallardo",8173,"2013",3042,0.1558,0.0286,0.0644,0.0628,0.1903,0.5608
"A.J. Burnett",512,"2013",3021,0.1728,0.0397,0.0563,0.0768,0.2205,0.5108
"Bud Norris",9492,"2013",3017,0.169,0.0361,0.0756,0.0573,0.2204,0.4988
"Kyle Lohse",739,"2013",3013,0.1603,0.0322,0.0717,0.0564,0.232,0.5038
"Edinson Volquez",3990,"2013",3009,0.1529,0.0269,0.0638,0.0621,0.224,0.5324
"Justin Masterson",2038,"2013",3009,0.2104,0.0302,0.0555,0.1246,0.2167,0.4872
"Ryan Dempster",517,"2013",2997,0.1702,0.0394,0.0501,0.0807,0.1862,0.5542
"Scott Feldman",6283,"2013",2989,0.1696,0.0238,0.0759,0.0699,0.1961,0.5346
"Jarrod Parker",4913,"2013",2984,0.1716,0.0265,0.057,0.0881,0.2071,0.5379
"Dillon Gee",7396,"2013",2983,0.1716,0.0396,0.0577,0.0744,0.2514,0.4797
"Anibal Sanchez",3284,"2013",2974,0.1698,0.0356,0.0693,0.0649,0.2233,0.502
"Wily Peralta",7738,"2013",2969,0.1482,0.03,0.0758,0.0424,0.1815,0.5645
"Shelby Miller",10197,"2013",2967,0.1716,0.0489,0.0533,0.0694,0.2565,0.4698
"Jhoulys Chacin",2608,"2013",2954,0.1638,0.0288,0.0789,0.0562,0.2427,0.4858
"Edwin Jackson",1841,"2013",2930,0.1481,0.0307,0.0638,0.0536,0.2181,0.5392
"Matt Cain",4732,"2013",2918,0.1717,0.0404,0.0483,0.0829,0.2437,0.4959
"Mike Leake",10130,"2013",2911,0.1817,0.021,0.0818,0.079,0.2027,0.5129
"Kevin Correia",1767,"2013",2905,0.1869,0.0454,0.0558,0.0857,0.2189,0.4929
"Andy Pettitte",840,"2013",2896,0.1799,0.0197,0.0684,0.0919,0.203,0.529
"Jeremy Hellickson",4371,"2013",2886,0.1653,0.0156,0.0745,0.0752,0.2055,0.5392
"Julio Teheran",6797,"2013",2884,0.1727,0.0343,0.0725,0.0659,0.2497,0.4709
"Bronson Arroyo",978,"2013",2872,0.1884,0.04,0.0602,0.0881,0.2698,0.4415
"Kyle Kendrick",6230,"2013",2870,0.1882,0.0296,0.0624,0.0962,0.2139,0.5059
"John Lackey",1507,"2013",2864,0.1732,0.0395,0.0667,0.067,0.2273,0.4934
"Juan Nicasio",7731,"2013",2860,0.1853,0.0339,0.072,0.0794,0.229,0.4797
"Lucas Harrell",7541,"2013",2851,0.1421,0.0189,0.0624,0.0607,0.1799,0.5966
"Stephen Strasburg",10131,"2013",2848,0.1664,0.0425,0.0569,0.0671,0.2272,0.507
"Felix Doubront",1478,"2013",2842,0.1868,0.0401,0.0595,0.0873,0.2312,0.4824
"Rick Porcello",2717,"2013",2835,0.1753,0.0233,0.0684,0.0836,0.2056,0.5273
"Zack Greinke",1943,"2013",2812,0.1479,0.0274,0.0701,0.0505,0.2148,0.5398
"Dan Haren",1757,"2013",2775,0.165,0.0303,0.0598,0.075,0.2288,0.516
"Jorge de la Rosa",2047,"2013",2773,0.1515,0.0256,0.0638,0.062,0.2167,0.5424
"Bartolo Colon",375,"2013",2763,0.181,0.0438,0.0691,0.068,0.2917,0.4144
"Scott Kazmir",4897,"2013",2742,0.1885,0.0398,0.0598,0.089,0.2414,0.4705
"Mike Pelfrey",5203,"2013",2727,0.2006,0.0396,0.0429,0.1181,0.2285,0.4884
"Jeff Locke",2929,"2013",2714,0.1824,0.0199,0.0575,0.105,0.1474,0.5929
"Miguel Gonzalez",7024,"2013",2712,0.1667,0.0446,0.0642,0.0579,0.2279,0.4967
"David Price",3184,"2013",2707,0.1862,0.0303,0.0558,0.1001,0.2667,0.461
"Hector Santiago",4026,"2013",2698,0.1927,0.0408,0.0463,0.1056,0.2342,0.4859
"Matt Harvey",11713,"2013",2696,0.151,0.0542,0.0582,0.0386,0.2541,0.4826
"Andrew Cashner",8782,"2013",2685,0.1773,0.0317,0.0585,0.0872,0.2555,0.4771
"Erik Bedard",126,"2013",2676,0.1827,0.0396,0.0456,0.0975,0.2388,0.4933
"Jerome Williams",1137,"2013",2637,0.171,0.0125,0.08,0.0785,0.2124,0.5241
"Matt Moore",1890,"2013",2621,0.1618,0.0458,0.0511,0.0649,0.2041,0.5372
"Jose Fernandez",11530,"2013",2609,0.1855,0.0479,0.0609,0.0767,0.253,0.4527
"Tommy Milone",7608,"2013",2598,0.174,0.0242,0.0716,0.0781,0.1898,0.5404
"Phil Hughes",7450,"2013",2548,0.1535,0.0467,0.0549,0.0518,0.2751,0.4698
