"Pitcher","MLBAM_ID","Year","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"Bartolo Colon",375,"2015",434,0.2074,0.0507,0.0645,0.0922,0.3041,0.3733
"Anthony DeSclafani",13050,"2015",432,0.1829,0.0231,0.0787,0.081,0.2222,0.4931
"Shane Greene",10756,"2015",425,0.1835,0.0306,0.0659,0.0871,0.2471,0.4729
"Yordano Ventura",11855,"2015",421,0.1876,0.0333,0.0499,0.1045,0.2019,0.5273
"Tom Koehler",6570,"2015",419,0.1551,0.0477,0.074,0.0334,0.2697,0.4535
"Trevor Bauer",12703,"2015",408,0.1814,0.0417,0.0539,0.0858,0.1838,0.5392
"Jake Arrieta",4153,"2015",406,0.1453,0.0271,0.0739,0.0443,0.2488,0.5049
"Hector Santiago",4026,"2015",400,0.175,0.0625,0.04,0.0725,0.235,0.4875
"Gio Gonzalez",7448,"2015",400,0.19,0.0325,0.045,0.1125,0.1975,0.535
"Joe Kelly",9761,"2015",397,0.1688,0.0176,0.0705,0.0806,0.2015,0.5416
"Jeremy Hellickson",4371,"2015",396,0.1742,0.0227,0.0581,0.0934,0.1641,0.5808
"Miguel Gonzalez",7024,"2015",393,0.1654,0.0331,0.0458,0.0865,0.229,0.5267
"Carlos Martinez",11682,"2015",392,0.1837,0.0204,0.0842,0.0791,0.2296,0.4821
"Edinson Volquez",3990,"2015",390,0.1795,0.0385,0.0692,0.0718,0.2231,0.4897
"Doug Fister",9425,"2015",388,0.1624,0.0464,0.0773,0.0387,0.2345,0.4794
"Wei-Yin Chen",13071,"2015",387,0.2171,0.0336,0.0749,0.1085,0.1912,0.4832
"Vance Worley",6435,"2015",385,0.1818,0.026,0.0727,0.0831,0.1714,0.5481
"Chase Anderson",6895,"2015",384,0.1875,0.0286,0.0651,0.0938,0.2057,0.513
"Collin McHugh",7531,"2015",383,0.1828,0.0313,0.0627,0.0888,0.2324,0.4909
"Roberto Hernandez",3273,"2015",379,0.1372,0.0185,0.0976,0.0211,0.153,0.5937
"Kyle Lobstein",9178,"2015",379,0.2296,0.0264,0.0475,0.1557,0.2111,0.4855
"Jason Marquis",105,"2015",377,0.1353,0.0159,0.061,0.0584,0.2175,0.5703
"Nathan Eovaldi",9132,"2015",376,0.1516,0.0239,0.0479,0.0798,0.2952,0.4814
"Mike Pelfrey",5203,"2015",376,0.1755,0.016,0.0532,0.1064,0.1995,0.5559
"Brandon Morrow",9346,"2015",376,0.1729,0.0399,0.0798,0.0532,0.1968,0.5106
"Tommy Milone",7608,"2015",375,0.1973,0.024,0.0587,0.1147,0.128,0.592
"Jason Hammel",4538,"2015",372,0.172,0.043,0.0538,0.0753,0.2204,0.5108
"Drew Pomeranz",11426,"2015",371,0.1644,0.0404,0.0566,0.0674,0.1995,0.5391
"Chris Sale",10603,"2015",371,0.1806,0.062,0.062,0.0566,0.221,0.4744
"Jon Niese",4424,"2015",370,0.1622,0.0243,0.073,0.0649,0.2568,0.4838
